"发布日期","标题","链接","浏览量","点赞数","收藏数","评论数"
"2026-07-11 12:57","第三方GPT-5.6 接入新版Codex报错解决方案","https://www.xiaohongshu.com/explore/6a51cd4f0000000006035cf4",352,8,9,5
"2026-07-09 12:39","Grok 4.5 上线 ZenMux｜SpaceXAI 最新力作","https://www.xiaohongshu.com/explore/6a4f260d0000000015025de1",176,0,1,0
"2026-07-04 13:31","ClaudeCode 201: 已知中国用户标记逻辑移除","https://www.xiaohongshu.com/explore/6a489aae000000000f02943e",198194,1290,343,341
"2026-07-02 21:55","Claude Code 2.1.198｜后台agent自己交 PR","https://www.xiaohongshu.com/explore/6a466dc80000000016026e67",252,6,2,0
"2026-07-02 04:31","Claude Fable 5重新上线ZenMux | 免费试用","https://www.xiaohongshu.com/explore/6a457912000000001c027a4e",3201,54,47,39
"2026-07-01 22:17","Claude Code 2.1.196-2.1.197 更新概览","https://www.xiaohongshu.com/explore/6a452185000000002103c3e8",267,3,3,0
"2026-07-01 02:27","Claude Sonnet 5 上线 ZenMuxAI｜限时免费!","https://www.xiaohongshu.com/explore/6a440a7d000000001603fe20",724,8,4,3
"2026-06-28 18:52","Codex CLI 0.142.2 更新速览","https://www.xiaohongshu.com/explore/6a40fcf1000000001101d5e5",706,5,2,0
"2026-06-28 18:45","Codex CLI 0.142.0 更新速览","https://www.xiaohongshu.com/explore/6a40fb36000000000f029812",159,3,2,0
"2026-06-28 18:37","Claude Code 2.1.195 更新速览","https://www.xiaohongshu.com/explore/6a40f958000000001101c986",421,2,2,0
"2026-06-28 18:35","Claude Code 2.1.193 更新速览","https://www.xiaohongshu.com/explore/6a40f8df000000000f0072fa",736,7,1,1
"2026-06-28 17:28","Claude Code 2.1.187 更新速览","https://www.xiaohongshu.com/explore/6a40e935000000001101cdc8",129,3,2,0
"2026-06-28 17:25","Claude Code 2.1.186 更新预览","https://www.xiaohongshu.com/explore/6a40e898000000000f01c8ac",310,7,2,0
"2026-06-19 16:27","Codex CLI 0.141.0 更新速览","https://www.xiaohongshu.com/explore/6a34fd6c00000000110163d4",380,4,4,0
"2026-06-19 16:22","Claude Code 2.1.183：auto 模式更敢用了","https://www.xiaohongshu.com/explore/6a34fc46000000000f02b55c",436,8,5,2
"2026-06-19 16:18","Codex App 26.616：演示一遍变成可复用技能","https://www.xiaohongshu.com/explore/6a34fb6f000000001101037c",215,1,5,0
"2026-06-19 10:51","","https://www.xiaohongshu.com/explore/6a34aeb00000000006031987",1801,29,6,1
"2026-06-18 08:56","Claude Code 2.1.181 更新速览","https://www.xiaohongshu.com/explore/6a3342470000000021017f06",228,6,0,0
"2026-06-18 08:50","Codex APP 0616 多项功能完成欧盟合规认证","https://www.xiaohongshu.com/explore/6a3340d6000000002003b15c",188,2,1,0
"2026-06-18 07:57","Codex CLI 0.140.0 更新速览","https://www.xiaohongshu.com/explore/6a33346b00000000060222bc",319,1,1,0
"2026-06-18 07:54","Claude Code 2.1.178-2.1.179 更新汇总","https://www.xiaohongshu.com/explore/6a3333a300000000070234d0",232,2,3,0
"2026-06-17 12:13","GLM-5.2上线ZenMux｜专注Coding与长程任务","https://www.xiaohongshu.com/explore/6a321efa000000000f00706b",881,1,3,2
"2026-06-15 11:37","Claude Code 2.1.174-2.1.176 更新速览","https://www.xiaohongshu.com/explore/6a2f735c0000000022009307",335,3,0,0
